Author;DOI;Filling level;alpha (mkV K-1);sigma (Ohm-1 cm-1);kappa (W m-1 K-1);nH (cm-3);muH (cm2V-1s-1)
Ivanova2023;10.1039/D2TA07625J;0.23;-172.6;804.6;3.2;1.29E+20;40.9
;;0.22;-152.6;1007.9;3.7;1.37E+20;51.4
;;0.29;-146.7;1165.5;2.9;1.89E+20;36.5
;;0.25;-147.2;1280.4;2.2;1.90E+20;42.1
;;0.22;-186.6;618.1;2.2;1.13E+20;33.6
;;0.23;-169.4;1000.6;3.9;1.49E+20;40.9
Leszczynski2013;10.1088/0022-3727/46/49/495106;0.04;-175.0;417.0;5.5;2.6E+19;100.2
;;0.11;-163.0;909.0;4.0;8.5E+19;66.8
;;0.18;-157.0;1351.0;4.3;1.06E+20;79.7
;;0.26;-148.0;1538.0;4.1;2.57E+20;37.4
Ghosh2020;10.1021/acsaem.9b01851;0.21;-153.0;1397.8;3.8;2.25E+20;38.8
;;0.23;-155.8;1352.9;3.4;2.24E+20;37.7
;;0.26;-163.1;1266.9;3.0;1.25E+20;63.3
;;0.09;-204.1;750.4;3.5;6.50E+19;72.2
;;0.25;-158.5;1217.9;3.4;1.20E+20;63.4
;;0.1;-204.5;827.3;3.5;6.90E+19;74.9
Tang2014;10.1039/C3EE43240H;0.081;-236.0;447.3;3.7;5.53847E+19;50.5
;;0.106;-203.4;1017.1;3.2;1.17257E+20;54.2
;;0.207;-174.5;1159.5;3.0;2.38334E+20;30.4
;;0.276;-162.0;1346.7;2.9;1.87844E+20;44.8
Wang2009;10.1007/s00339-009-5329-5;1.00E-01;-208.8;634.1;3.6;2.10E+19;193.7
;;2.00E-01;-164.6;798.1;3.4;4.48E+19;111.8
;;3.00E-01;-176.1;899.1;3.3;5.96E+19;79.9
Lim2016;10.1063/1.4944434;2.48E-01;-153.6;1488.1;3.5;2E+20;47.5
;;1.61E-01;-196.5;1105.0;3.6;9.80E+19;70.4
;;1.26E-01;-210.8;787.4;4.1;6.30E+19;81.5
;;9.50E-02;-226.8;680.3;4.9;4.90E+19;93.2
;;6.40E-02;-245.6;490.2;4.9;3.20E+19;116.2
Du2011;10.1007/s11664-011-1603-3;0;-125.0;33.5;;2.627E+19;8.9
;;0.25;-330.0;39.5;;7.531E+18;32.9
;;0.5;-330.0;35.7;;1.059E+19;21.3
;;0.5;-140.0;1014.0;;2.015E+20;31.4
Zhao2015;10.1038/ncomms7197;0.08;-259.6;502.2;;3.54E+19;88.8
;;1.80E-01;-198.1;1020.8;;9.48E+19;67.3
Zhao2007;10.1063/1.2821364;0.23;-182.0;1151.0;3.8;9.08E+19;64.9
Novitskii2025;10.2139/ssrn.5271220;In0.4Co4Sb11.8Te0.2;-166.729;1406.16519;4.78119;1.4E+20;64.9
;;In0.3Ga0.1Co4Sb11.8Te0.2;-161.588;1604.49773;3.55177;1.9E+20;53.0
;;In0.2Ga0.2Co4Sb11.8Te0.2;-210.945;891.98109;3.60617;7.8E+19;71.3
;;In0.1Ga0.3Co4Sb11.8Te0.2;-215.274;763.5278;3.29355;6.8E+19;69.7
;;Ga0.4Co4Sb11.8Te0.2;-248.724;405.60053;3.97898;3.3E+19;76.8
;;In0.025CoSb2.95Te0.05;-195.381;920.2425759;5.09822086;;
;;In0.05CoSb2.95Te0.05;-201.375;894.1984405;4.63402889;;
;;In0.075CoSb2.95Te0.05;-193.123;1084.685756;4.493253523;;
;;In0.1CoSb2.95Te0.05;-168.961;1427.792262;4.071822331;;
;;In0.025CoSb2.9Te0.1;-162.746;1172.46902;5.076216343;;
;;In0.05CoSb2.9Te0.1;-173.324;1086.742717;4.754201536;;
;;In0.075CoSb2.9Te0.1;-190.117;971.1472162;4.397020414;;
;;In0.1CoSb2.9Te0.1;-200.098;738.5960766;4.172104284;;
;;In0.075CoSb2.9Te0.15;-170.371;937.2334742;5.017114837;;
;;In0.1CoSb2.9Te0.15;-158.083;1085.55474;5.485534902;;
;;Ga0.025CoSb2.95Te0.05;-226.376;637.1415282;6.841595045;;
